curve,x,y
roc,0.043441,0.268581
roc,0.043633,0.268657
roc,0.043655,0.269418
roc,0.043783,0.269494
roc,0.044231,0.269799
roc,0.044295,0.270637
roc,0.044423,0.271017
roc,0.045383,0.271322
roc,0.045553,0.271398
roc,0.045575,0.272007
roc,0.04566,0.272464
roc,0.046066,0.273683
roc,0.046108,0.273987
roc,0.046151,0.27452
roc,0.046215,0.274825
roc,0.046258,0.275358
roc,0.046343,0.275586
roc,0.046364,0.277642
roc,0.046535,0.278023
roc,0.046791,0.278252
roc,0.046812,0.278632
roc,0.047367,0.278708
roc,0.04741,0.279165
roc,0.047516,0.279394
roc,0.04758,0.279927
roc,0.048861,0.280003
roc,0.048903,0.280308
roc,0.048925,0.280841
roc,0.049031,0.282288
roc,0.049202,0.282821
roc,0.049458,0.283125
roc,0.049586,0.28343
roc,0.050034,0.283658
roc,0.051933,0.284267
roc,0.051976,0.284572
roc,0.05204,0.285867
roc,0.052232,0.285943
roc,0.052274,0.288075
roc,0.052402,0.291426
roc,0.052552,0.291502
roc,0.052595,0.292339
roc,0.052637,0.292644
roc,0.052637,0.29866
roc,0.053213,0.29866
roc,0.053256,0.298964
roc,0.053448,0.299041
roc,0.053469,0.299726
roc,0.053533,0.30003
roc,0.05428,0.300183
roc,0.054301,0.301325
roc,0.054536,0.301934
roc,0.054621,0.302239
roc,0.054643,0.302772
roc,0.054963,0.303457
roc,0.05539,0.303533
roc,0.055518,0.304676
roc,0.05556,0.305209
roc,0.055944,0.309168
roc,0.055966,0.309549
roc,0.056243,0.309701
roc,0.056264,0.31191
roc,0.056584,0.312367
roc,0.056606,0.313281
roc,0.056798,0.313737
roc,0.05684,0.314575
roc,0.057182,0.315184
roc,0.05731,0.315489
roc,0.057353,0.31587
roc,0.057459,0.315946
roc,0.05763,0.316022
roc,0.057694,0.316403
roc,0.058078,0.316631
roc,0.058462,0.31686
roc,0.058974,0.317088
roc,0.058995,0.318078
roc,0.059059,0.321657
roc,0.05923,0.322038
roc,0.059273,0.322723
roc,0.060489,0.322875
roc,0.06066,0.32318
roc,0.060852,0.323713
roc,0.061044,0.325008
roc,0.061044,0.329881
roc,0.061193,0.330186
roc,0.061257,0.330338
roc,0.061556,0.331861
roc,0.061727,0.332166
roc,0.061876,0.332623
roc,0.061876,0.334069
roc,0.062025,0.334679
roc,0.062025,0.33841
roc,0.062153,0.338715
roc,0.062751,0.339019
roc,0.062985,0.340847
roc,0.062985,0.343055
roc,0.063028,0.343284
roc,0.06322,0.343664
roc,0.06354,0.345949
roc,0.063583,0.348309
roc,0.063626,0.348538
roc,0.063839,0.34869
roc,0.064372,0.34869
roc,0.064458,0.348919
roc,0.064607,0.349832
roc,0.06465,0.350518
roc,0.064756,0.35067
roc,0.064778,0.351965
roc,0.064863,0.352269
roc,0.065012,0.352726
roc,0.065226,0.353335
roc,0.065503,0.353412
roc,0.065674,0.353945
roc,0.065695,0.356838
roc,0.065716,0.357524
roc,0.065823,0.357752
roc,0.066271,0.357752
roc,0.066357,0.361331
roc,0.066485,0.36156
roc,0.066719,0.361712
roc,0.066719,0.367042
roc,0.066783,0.369175
roc,0.066847,0.369555
roc,0.066954,0.369784
roc,0.067018,0.369936
roc,0.067466,0.370088
roc,0.067466,0.372373
roc,0.067487,0.372754
roc,0.067551,0.37321
roc,0.067594,0.373591
roc,0.067679,0.374277
roc,0.067786,0.374657
roc,0.068106,0.375267
roc,0.068128,0.376942
roc,0.068405,0.377018
roc,0.068704,0.377627
roc,0.069194,0.378008
roc,0.069216,0.378693
roc,0.069472,0.378846
roc,0.069472,0.380445
roc,0.069493,0.381511
roc,0.0696,0.381892
roc,0.069685,0.382044
roc,0.070069,0.382348
roc,0.070112,0.382577
roc,0.070133,0.382882
roc,0.070176,0.383415
roc,0.070261,0.383643
roc,0.070923,0.384024
roc,0.071029,0.385623
roc,0.071093,0.386461
roc,0.071115,0.386917
roc,0.071136,0.387298
roc,0.071797,0.387527
roc,0.071861,0.387831
roc,0.072032,0.388288
roc,0.072117,0.388897
roc,0.072181,0.389202
roc,0.072203,0.390116
roc,0.073184,0.390496
roc,0.073419,0.390649
roc,0.073483,0.391258
roc,0.073568,0.391943
roc,0.073654,0.392096
roc,0.07376,0.392553
roc,0.073782,0.396132
roc,0.074102,0.396284
roc,0.074102,0.399711
roc,0.074208,0.399787
roc,0.074272,0.400396
roc,0.074294,0.401005
roc,0.074336,0.407173
roc,0.074358,0.407554
roc,0.074379,0.407935
roc,0.075702,0.407935
roc,0.075851,0.408239
roc,0.075873,0.411285
roc,0.075894,0.411666
roc,0.076043,0.412047
roc,0.076193,0.412199
roc,0.076214,0.413646
roc,0.076235,0.414103
roc,0.077302,0.414636
roc,0.077302,0.415398
roc,0.077324,0.416311
roc,0.07758,0.41654
roc,0.07758,0.420956
roc,0.077601,0.425145
roc,0.077708,0.434207
roc,0.077921,0.434359
roc,0.080887,0.434816
roc,0.080908,0.435653
roc,0.080972,0.438776
roc,0.082252,0.438776
roc,0.08238,0.439613
roc,0.082444,0.440603
roc,0.082551,0.440755
roc,0.084663,0.446314
roc,0.084685,0.451645
roc,0.084706,0.453016
roc,0.085005,0.453168
roc,0.085133,0.45332
roc,0.085239,0.453472
roc,0.085495,0.455605
roc,0.085495,0.459717
roc,0.085645,0.462687
roc,0.085815,0.462839
roc,0.085837,0.463524
roc,0.085922,0.463981
